day,date,aapl,amzn,goog
0,2016-01-04,105.349998,636.98999,741.840027
1,2016-01-05,102.709999,633.789978,742.580017
2,2016-01-06,100.699997,632.650024,743.619995
3,2016-01-07,96.449997,607.9400019999999,726.3900150000001
4,2016-01-08,96.959999,607.049988,714.469971
5,2016-01-11,98.529999,617.73999,716.030029
6,2016-01-12,99.959999,617.8900150000001,726.070007
7,2016-01-13,97.389999,581.8099980000001,700.5599980000001
8,2016-01-14,99.519997,593.0,714.719971
9,2016-01-15,97.129997,570.179993,694.450012
10,2016-01-19,96.660004,574.47998,701.789978
11,2016-01-20,96.790001,571.77002,698.450012
12,2016-01-21,96.300003,575.02002,706.590027
13,2016-01-22,101.41999799999999,596.380005,725.25
14,2016-01-25,99.440002,596.530029,711.669983
15,2016-01-26,99.989998,601.25,713.039978
16,2016-01-27,93.41999799999999,583.349976,699.98999
17,2016-01-28,94.089996,635.349976,730.960022
18,2016-01-29,97.339996,587.0,742.950012
19,2016-02-01,96.43,574.8099980000001,752.0
20,2016-02-02,94.480003,552.099976,764.650024
21,2016-02-03,96.349998,531.070007,726.950012
22,2016-02-04,96.599998,536.26001,708.01001
23,2016-02-05,94.019997,502.130005,683.570007
24,2016-02-08,95.010002,488.10000599999995,682.73999
25,2016-02-09,94.989998,482.07000700000003,678.1099849999999
26,2016-02-10,94.269997,490.48001100000005,684.119995
27,2016-02-11,93.699997,503.82000700000003,683.1099849999999
28,2016-02-12,93.989998,507.079987,682.400024
29,2016-02-16,96.639999,521.099976,691.0
30,2016-02-17,98.120003,534.099976,708.400024
31,2016-02-18,96.260002,525.0,697.349976
32,2016-02-19,96.040001,534.900024,700.909973
33,2016-02-22,96.879997,559.5,706.460022
34,2016-02-23,94.690002,552.9400019999999,695.849976
35,2016-02-24,96.099998,554.039978,699.5599980000001
36,2016-02-25,96.760002,555.150024,705.75
37,2016-02-26,96.910004,555.22998,705.070007
38,2016-02-29,96.690002,552.52002,697.77002
39,2016-03-01,100.529999,579.039978,718.8099980000001
40,2016-03-02,100.75,580.210022,718.849976
41,2016-03-03,101.5,577.48999,712.419983
42,2016-03-04,103.010002,575.1400150000001,710.8900150000001
43,2016-03-07,101.870003,562.799988,695.159973
44,2016-03-08,101.029999,560.26001,693.969971
45,2016-03-09,101.120003,559.469971,705.23999
46,2016-03-10,101.16999799999999,558.929993,712.820007
47,2016-03-11,102.260002,569.6099849999999,726.820007
48,2016-03-14,102.519997,573.369995,730.48999
49,2016-03-15,104.58000200000001,577.02002,728.330017
50,2016-03-16,105.970001,574.27002,736.090027
51,2016-03-17,105.800003,559.4400019999999,737.780029
52,2016-03-18,105.91999799999999,552.080017,737.599976
53,2016-03-21,105.910004,553.97998,742.090027
54,2016-03-22,106.720001,560.47998,740.75
55,2016-03-23,106.129997,569.630005,738.0599980000001
56,2016-03-24,105.66999799999999,582.950012,735.299988
57,2016-03-28,105.190002,579.869995,733.530029
58,2016-03-29,107.68,593.8599849999999,744.77002
59,2016-03-30,109.559998,598.6900019999999,750.530029
60,2016-03-31,108.989998,593.6400150000001,744.950012
61,2016-04-01,109.989998,598.5,749.909973
62,2016-04-04,111.120003,593.1900019999999,745.289978
63,2016-04-05,109.809998,586.1400150000001,737.799988
64,2016-04-06,110.959999,602.080017,745.6900019999999
65,2016-04-07,108.540001,591.429993,740.280029
66,2016-04-08,108.660004,594.599976,739.150024
67,2016-04-11,109.019997,595.929993,736.099976
68,2016-04-12,110.440002,603.169983,743.090027
69,2016-04-13,112.040001,614.820007,751.719971
70,2016-04-14,112.099998,620.75,753.200012
71,2016-04-15,109.849998,625.8900150000001,759.0
72,2016-04-18,107.480003,635.349976,766.6099849999999
73,2016-04-19,106.910004,627.900024,753.929993
74,2016-04-20,107.129997,632.98999,752.669983
75,2016-04-21,105.970001,631.0,759.1400150000001
76,2016-04-22,105.68,620.5,718.77002
77,2016-04-25,105.08000200000001,626.200012,723.150024
78,2016-04-26,104.349998,616.880005,708.1400150000001
79,2016-04-27,97.82,606.570007,705.840027
80,2016-04-28,94.83000200000001,602.0,691.02002
81,2016-04-29,93.739998,659.590027,693.01001
82,2016-05-02,93.639999,683.849976,698.210022
83,2016-05-03,95.18,671.320007,692.3599849999999
84,2016-05-04,94.190002,670.900024,695.700012
85,2016-05-05,93.239998,659.090027,701.429993
86,2016-05-06,92.720001,673.950012,711.119995
87,2016-05-09,92.790001,679.75,712.900024
88,2016-05-10,93.41999799999999,703.070007,723.179993
89,2016-05-11,92.510002,713.22998,715.289978
90,2016-05-12,90.339996,717.929993,713.3099980000001
91,2016-05-13,90.519997,709.919983,710.830017
92,2016-05-16,93.879997,710.659973,716.48999
93,2016-05-17,93.489998,695.27002,706.22998
94,2016-05-18,94.559998,697.450012,706.630005
95,2016-05-19,94.199997,698.52002,700.320007
96,2016-05-20,95.220001,702.799988,709.73999
97,2016-05-23,96.43,696.75,704.23999
98,2016-05-24,97.900002,704.200012,720.090027
99,2016-05-25,99.620003,708.349976,725.27002
100,2016-05-26,100.410004,714.909973,724.119995
