day,date,aapl,amzn,goog
0,2016-01-04,67649400.0,9314500.0,3272800.0
1,2016-01-05,55791000.0,5822600.0,1950700.0
2,2016-01-06,68457400.0,5329200.0,1947000.0
3,2016-01-07,81094400.0,7074900.0,2963700.0
4,2016-01-08,70798000.0,5512900.0,2450900.0
5,2016-01-11,49739400.0,4869200.0,2089300.0
6,2016-01-12,49154200.0,4724100.0,2024500.0
7,2016-01-13,62439600.0,7655200.0,2501700.0
8,2016-01-14,63170100.0,7238000.0,2225800.0
9,2016-01-15,79010000.0,7784500.0,3608100.0
10,2016-01-19,53087700.0,4807200.0,2268100.0
11,2016-01-20,72334400.0,7966400.0,3445000.0
12,2016-01-21,52161500.0,4952200.0,2412200.0
13,2016-01-22,65800500.0,5120100.0,2011800.0
14,2016-01-25,51794500.0,4396100.0,1711700.0
15,2016-01-26,75077000.0,3743200.0,1324300.0
16,2016-01-27,133369700.0,5152900.0,2194200.0
17,2016-01-28,55678800.0,14015200.0,2676400.0
18,2016-01-29,64416500.0,14677600.0,3474300.0
19,2016-02-01,40943500.0,6355100.0,5139200.0
20,2016-02-02,37357200.0,6312000.0,6348100.0
21,2016-02-03,45964300.0,10048700.0,6171000.0
22,2016-02-04,46471700.0,6176600.0,5145900.0
23,2016-02-05,46418100.0,9708900.0,5105700.0
24,2016-02-08,54021400.0,9825500.0,4247400.0
25,2016-02-09,44331200.0,7045900.0,3604300.0
26,2016-02-10,42343600.0,6786200.0,2638000.0
27,2016-02-11,50074700.0,7397400.0,3024000.0
28,2016-02-12,40351400.0,5384800.0,2141400.0
29,2016-02-16,49057900.0,5118500.0,2520000.0
30,2016-02-17,44863200.0,4824000.0,2492600.0
31,2016-02-18,39021000.0,4735000.0,1883200.0
32,2016-02-19,35374200.0,4974700.0,1589300.0
33,2016-02-22,34280800.0,5566600.0,1949800.0
34,2016-02-23,31942600.0,4050800.0,2009300.0
35,2016-02-24,36255700.0,6231700.0,1963600.0
36,2016-02-25,27582700.0,4510500.0,1631900.0
37,2016-02-26,28991100.0,4877000.0,2243500.0
38,2016-02-29,35216300.0,4145400.0,2481100.0
39,2016-03-01,50407100.0,5038500.0,2151400.0
40,2016-03-02,33169600.0,4582200.0,1629000.0
41,2016-03-03,36955700.0,2736700.0,1956800.0
42,2016-03-04,46055100.0,3416500.0,1972100.0
43,2016-03-07,35828900.0,4926900.0,2985100.0
44,2016-03-08,31561900.0,4730000.0,2076300.0
45,2016-03-09,27201700.0,4377300.0,1421500.0
46,2016-03-10,33513600.0,3914300.0,2829400.0
47,2016-03-11,27408200.0,3771300.0,1970800.0
48,2016-03-14,25076100.0,3454200.0,1718300.0
49,2016-03-15,40067700.0,3876800.0,1721000.0
50,2016-03-16,38303500.0,3537700.0,1624400.0
51,2016-03-17,34420700.0,5928100.0,1860800.0
52,2016-03-18,44205200.0,7296900.0,2980700.0
53,2016-03-21,35502700.0,5155700.0,1836500.0
54,2016-03-22,32444400.0,4000600.0,1269700.0
55,2016-03-23,25703500.0,3983700.0,1432100.0
56,2016-03-24,26133000.0,5185500.0,1594900.0
57,2016-03-28,19411400.0,3121500.0,1301300.0
58,2016-03-29,31190100.0,4167100.0,1902100.0
59,2016-03-30,45601100.0,3890500.0,1782400.0
60,2016-03-31,25888400.0,2681800.0,1718800.0
61,2016-04-01,25874000.0,2917400.0,1576700.0
62,2016-04-04,37356200.0,2470800.0,1134200.0
63,2016-04-05,26578700.0,2308900.0,1132300.0
64,2016-04-06,26404100.0,2833500.0,1050200.0
65,2016-04-07,31801900.0,3189000.0,1453200.0
66,2016-04-08,23581700.0,2591900.0,1290800.0
67,2016-04-11,29407500.0,2704300.0,1220100.0
68,2016-04-12,27232300.0,2636300.0,1349700.0
69,2016-04-13,33257300.0,4228300.0,1707100.0
70,2016-04-14,25473900.0,3474300.0,1131000.0
71,2016-04-15,46939000.0,2887700.0,1809300.0
72,2016-04-18,60834000.0,4336400.0,1556000.0
73,2016-04-19,32384900.0,4055900.0,2030500.0
74,2016-04-20,30611000.0,2609400.0,1529200.0
75,2016-04-21,31552500.0,2596300.0,3060500.0
76,2016-04-22,33683100.0,5083900.0,5951900.0
77,2016-04-25,28031600.0,2682900.0,1959200.0
78,2016-04-26,56016200.0,2521400.0,2744600.0
79,2016-04-27,114602100.0,4068800.0,3098600.0
80,2016-04-28,82242700.0,7872600.0,2867300.0
81,2016-04-29,68531500.0,10310700.0,2487700.0
82,2016-05-02,48160100.0,6578500.0,1645300.0
83,2016-05-03,56831300.0,4923400.0,1543800.0
84,2016-05-04,41025500.0,4574500.0,1688600.0
85,2016-05-05,35890500.0,4884100.0,1683500.0
86,2016-05-06,43458200.0,4365300.0,1829300.0
87,2016-05-09,32936400.0,3982200.0,1510300.0
88,2016-05-10,33686800.0,6087000.0,1563100.0
89,2016-05-11,28719100.0,7338200.0,1692100.0
90,2016-05-12,76314700.0,5048200.0,1360700.0
91,2016-05-13,44392800.0,4763400.0,1314500.0
92,2016-05-16,61259800.0,5432900.0,1317100.0
93,2016-05-17,46916900.0,5121400.0,2001200.0
94,2016-05-18,42062400.0,4283200.0,1766800.0
95,2016-05-19,30442100.0,3025600.0,1670200.0
96,2016-05-20,32026000.0,2916200.0,1828400.0
97,2016-05-23,38018600.0,2579200.0,1320900.0
98,2016-05-24,35140200.0,3033800.0,1929500.0
99,2016-05-25,38168800.0,3267700.0,1629200.0
100,2016-05-26,56331200.0,2436800.0,1542900.0
101,2016-05-27,36229500.0,2249200.0,1975000.0
102,2016-05-31,42307200.0,3618300.0,2129500.0
103,2016-06-01,29173300.0,3263100.0,1253600.0
104,2016-06-02,40191600.0,3020700.0,1337600.0
105,2016-06-03,28062900.0,3367300.0,1226300.0
106,2016-06-06,23292500.0,2704800.0,1565300.0
107,2016-06-07,22409500.0,2732500.0,1336200.0
108,2016-06-08,20848100.0,2223400.0,1583700.0
109,2016-06-09,26601400.0,2170300.0,988900.0
110,2016-06-10,31712900.0,3425700.0,1216400.0
111,2016-06-13,38020500.0,3352200.0,1258900.0
112,2016-06-14,31931900.0,2506900.0,1306100.0
113,2016-06-15,29445200.0,2709400.0,1214500.0
114,2016-06-16,31326800.0,3098000.0,1982500.0
115,2016-06-17,61008200.0,5897800.0,3402400.0
116,2016-06-20,34411900.0,3677200.0,2082500.0
117,2016-06-21,35546400.0,2137500.0,1465600.0
118,2016-06-22,29219100.0,2260500.0,1184300.0
119,2016-06-23,32240200.0,2825000.0,2171400.0
